交费期间,性别,年龄,保单年度
1,男,0,1
1,男,0,2
1,男,0,3
1,男,0,4
1,男,0,5
1,男,0,6
1,男,0,7
1,男,0,8
1,男,0,9
1,男,0,10
1,男,0,11
1,男,0,12
1,男,0,13
1,男,0,14
1,男,0,15
1,男,0,16
1,男,0,17
1,男,0,18
1,男,0,19
1,男,0,20
1,男,0,21
1,男,0,22
1,男,0,23
1,男,0,24
1,男,0,25
1,男,0,26
1,男,0,27
1,男,0,28
1,男,0,29
1,男,0,30
1,男,0,31
1,男,0,32
1,男,0,33
1,男,0,34
1,男,0,35
1,男,0,36
1,男,0,37
1,男,0,38
1,男,0,39
1,男,0,40
1,男,0,41
1,男,0,42
1,男,0,43
1,男,0,44
1,男,0,45
1,男,0,46
1,男,0,47
1,男,0,48
1,男,0,49
1,男,0,50
1,男,0,51
1,男,0,52
1,男,0,53
1,男,0,54
1,男,0,55
1,男,0,56
1,男,0,57
1,男,0,58
1,男,0,59
1,男,0,60
1,男,0,61
1,男,0,62
1,男,0,63
1,男,0,64
1,男,0,65
1,男,0,66
1,男,0,67
1,男,0,68
1,男,0,69
1,男,0,70
1,男,0,71
1,男,0,72
1,男,0,73
1,男,0,74
1,男,0,75
1,男,0,76
1,男,0,77
1,男,0,78
1,男,0,79
1,男,0,80
1,男,0,81
1,男,0,82
1,男,0,83
1,男,0,84
1,男,0,85
1,男,0,86
1,男,0,87
1,男,0,88
1,男,0,89
1,男,0,90
1,男,0,91
1,男,0,92
1,男,0,93
1,男,0,94
1,男,0,95
1,男,0,96
1,男,0,97
1,男,0,98
1,男,0,99
1,男,0,100
1,男,0,101
1,男,0,102
1,男,0,103
1,男,0,104
1,男,0,105
1,男,1,1
1,男,1,2
1,男,1,3
1,男,1,4
1,男,1,5
1,男,1,6
1,男,1,7
1,男,1,8
1,男,1,9
1,男,1,10
1,男,1,11
1,男,1,12
1,男,1,13
1,男,1,14
1,男,1,15
1,男,1,16
1,男,1,17
1,男,1,18
1,男,1,19
1,男,1,20
1,男,1,21
1,男,1,22
1,男,1,23
1,男,1,24
1,男,1,25
1,男,1,26
1,男,1,27
1,男,1,28
1,男,1,29
1,男,1,30
1,男,1,31
1,男,1,32
1,男,1,33
1,男,1,34
1,男,1,35
1,男,1,36
1,男,1,37
1,男,1,38
1,男,1,39
1,男,1,40
1,男,1,41
1,男,1,42
1,男,1,43
1,男,1,44
1,男,1,45
1,男,1,46
1,男,1,47
1,男,1,48
1,男,1,49
1,男,1,50
