交费期间,性别,年龄,保单年度,现金价值
1,男,0,1,915.5
1,男,0,2,947.4
1,男,0,3,980.5
1,男,0,4,1014.8
1,男,0,5,1050.3
1,男,0,6,1087.1
1,男,0,7,1103.4
1,男,0,8,1119.9
1,男,0,9,1136.8
1,男,0,10,1153.8
1,男,0,11,1171.2
1,男,0,12,1188.7
1,男,0,13,1206.6
1,男,0,14,1224.8
1,男,0,15,1243.2
1,男,0,16,1261.9
1,男,0,17,1280.9
1,男,0,18,1300.2
1,男,0,19,1319.5
1,男,0,20,1339.1
1,男,0,21,1359
1,男,0,22,1379.2
1,男,0,23,1399.7
1,男,0,24,1420.5
1,男,0,25,1441.7
1,男,0,26,1463.1
1,男,0,27,1484.9
1,男,0,28,1507
1,男,0,29,1529.5
1,男,0,30,1552.2
1,男,0,31,1575.4
1,男,0,32,1598.9
1,男,0,33,1622.8
1,男,0,34,1647
1,男,0,35,1671.7
1,男,0,36,1696.7
1,男,0,37,1722.1
1,男,0,38,1748
1,男,0,39,1774.2
1,男,0,40,1800.8
1,男,0,41,1827.8
1,男,0,42,1855.2
1,男,0,43,1883
1,男,0,44,1911.2
1,男,0,45,1939.9
1,男,0,46,1969
1,男,0,47,1998.5
1,男,0,48,2028.5
1,男,0,49,2058.9
1,男,0,50,2089.8
1,男,0,51,2121.1
1,男,0,52,2152.9
1,男,0,53,2185.2
1,男,0,54,2218
1,男,0,55,2251.3
1,男,0,56,2285
1,男,0,57,2319.3
1,男,0,58,2354.1
1,男,0,59,2389.4
1,男,0,60,2425.2
1,男,0,61,2461.6
1,男,0,62,2498.5
1,男,0,63,2536
1,男,0,64,2574
1,男,0,65,2612.6
1,男,0,66,2651.8
1,男,0,67,2691.5
1,男,0,68,2731.9
1,男,0,69,2772.9
1,男,0,70,2814.5
1,男,0,71,2856.7
1,男,0,72,2899.5
1,男,0,73,2943
1,男,0,74,2987.1
1,男,0,75,3031.9
1,男,0,76,3077.4
1,男,0,77,3123.6
1,男,0,78,3170.4
1,男,0,79,3218
1,男,0,80,3266.3
1,男,0,81,3315.3
1,男,0,82,3365
1,男,0,83,3415.5
1,男,0,84,3466.7
1,男,0,85,3518.7
1,男,0,86,3571.5
1,男,0,87,3625
1,男,0,88,3679.4
1,男,0,89,3734.6
1,男,0,90,3790.6
1,男,0,91,3847.5
1,男,0,92,3905.2
1,男,0,93,3963.8
1,男,0,94,4023.2
1,男,0,95,4083.6
1,男,0,96,4144.8
1,男,0,97,4207
1,男,0,98,4270.1
1,男,0,99,4334.2
1,男,0,100,4399.2
1,男,0,101,4465.2
1,男,0,102,4532.1
1,男,0,103,4600.1
1,男,0,104,4669.1
1,男,0,105,4739.2
1,男,1,1,915.7
1,男,1,2,947.7
1,男,1,3,980.8
1,男,1,4,1015.1
1,男,1,5,1050.6
1,男,1,6,1087.4
1,男,1,7,1103.7
1,男,1,8,1120.3
1,男,1,9,1137.1
1,男,1,10,1154.2
1,男,1,11,1171.5
1,男,1,12,1189.1
1,男,1,13,1207
1,男,1,14,1225.2
1,男,1,15,1243.6
1,男,1,16,1262.3
1,男,1,17,1281.3
1,男,1,18,1300.4
1,男,1,19,1319.7
1,男,1,20,1339.2
1,男,1,21,1359.1
1,男,1,22,1379.3
1,男,1,23,1399.8
1,男,1,24,1420.6
1,男,1,25,1441.7
1,男,1,26,1463.2
1,男,1,27,1484.9
1,男,1,28,1507
1,男,1,29,1529.5
1,男,1,30,1552.3
1,男,1,31,1575.4
1,男,1,32,1598.9
1,男,1,33,1622.8
1,男,1,34,1647
1,男,1,35,1671.7
1,男,1,36,1696.7
1,男,1,37,1722.1
1,男,1,38,1747.9
1,男,1,39,1774.2
1,男,1,40,1800.8
1,男,1,41,1827.8
1,男,1,42,1855.2
1,男,1,43,1883
1,男,1,44,1911.2
1,男,1,45,1939.9
1,男,1,46,1969
1,男,1,47,1998.5
1,男,1,48,2028.5
1,男,1,49,2058.9
1,男,1,50,2089.8
1,男,1,51,2121.1
1,男,1,52,2152.9
1,男,1,53,2185.2
1,男,1,54,2218
1,男,1,55,2251.2
1,男,1,56,2285
1,男,1,57,2319.3
1,男,1,58,2354.1
1,男,1,59,2389.4
1,男,1,60,2425.2
1,男,1,61,2461.6
1,男,1,62,2498.5
1,男,1,63,2536
1,男,1,64,2574
1,男,1,65,2612.6
1,男,1,66,2651.8
1,男,1,67,2691.5
1,男,1,68,2731.9
1,男,1,69,2772.9
1,男,1,70,2814.5
1,男,1,71,2856.7
1,男,1,72,2899.5
1,男,1,73,2943
1,男,1,74,2987.1
1,男,1,75,3031.9
1,男,1,76,3077.4
1,男,1,77,3123.6
