item_code,item_name,unit,price,price_raw,description,insurance_category,is_valid,source,import_time
w0107010001,健康档案建档费,人,10.0,10,,丙,是,北京市医疗保障局,2026-03-04 20:03:19
w0107010002,健康服务合同费,人/年,30.0,30,"每年免费查体二次, 进行健康知识宣传, 接受咨询",丙,是,北京市医疗保障局,2026-03-04 20:03:19
w0107030001,家庭病床建床费,床,10.0,10,,乙,是,北京市医疗保障局,2026-03-04 20:03:19
w0107030003,急呼上门服务加收,次,5.0,5,,丙,是,北京市医疗保障局,2026-03-04 20:03:19
w0108000004,围产保健防视,人次,10.0,10,,甲,是,北京市医疗保障局,2026-03-04 20:03:19
w0201000006,动脉穿刺,人次,5.0,5,"动脉抽血同此收费,动脉血气针另收。一次性空针另收",甲,是,北京市医疗保障局,2026-03-04 20:03:19
w0201000008,腹腔注射,人次,5.0,5,一次性空针另收,甲,是,北京市医疗保障局,2026-03-04 20:03:19
w0201000009,抽脓注射,人次,4.0,4,一次性空针另收,甲,是,北京市医疗保障局,2026-03-04 20:03:19
w0201000011,一般穿刺,人次,5.0,5,一次性空针另收,甲,是,北京市医疗保障局,2026-03-04 20:03:19
w0201000012,锁骨下静脉穿刺,人次,20.0,20,含固定膜、敷料费。导管另收。一次性空针另收,甲,是,北京市医疗保障局,2026-03-04 20:03:19
w0201000013,腹部穿刺,人次,8.0,8,一次性空针另收,甲,是,北京市医疗保障局,2026-03-04 20:03:19
w0201000014,膀胱穿刺,人次,8.0,8,一次性空针另收,甲,是,北京市医疗保障局,2026-03-04 20:03:19
w0201000015,腰椎穿刺,人次,20.0,20,一次性穿刺针或一次性腰穿包另收。椎管内注药另收2元。一次性空针另收,甲,是,北京市医疗保障局,2026-03-04 20:03:19
w0201000016,胸穿刺,人次,20.0,20,一次性穿刺针或一次性胸穿包另收。一次性空针另收,甲,是,北京市医疗保障局,2026-03-04 20:03:19
w0201000017,骨穿刺,人次,20.0,20,一次性穿刺针另收。一次性空针另收,甲,是,北京市医疗保障局,2026-03-04 20:03:19
w0201000018,留置针穿刺,人次,8.0,8,含一次性固定膜、敷料费。一次性留置用针、肝素帽另收。一次性空针另收,甲,是,北京市医疗保障局,2026-03-04 20:03:19
w0201000019,环甲膜穿刺,人次,20.0,20,一次性穿刺针另收。一次性空针另收,甲,是,北京市医疗保障局,2026-03-04 20:03:19
w0201000021,封闭疗法,人次,3.0,3,药费另收。1-21项一次性空针另收,甲,是,北京市医疗保障局,2026-03-04 20:03:19
w0201000023,备皮,（30cm）2,5.0,5,"超过（30cm）2,不含(30cm)2及骨关节包扎加倍。一次性无菌备皮刀（限传染、皮肤病、伤口感染者）另收",甲,是,北京市医疗保障局,2026-03-04 20:03:19
w0201000027,鼻饲,人次,1.0,1,一次性胃管、肠管、鼻饲管另收,甲,是,北京市医疗保障局,2026-03-04 20:03:19
w0201000031,三叉神经封闭(卵圆孔),人次,20.0,20,一次性空针及药费另收,甲,是,北京市医疗保障局,2026-03-04 20:03:19
w0201000032,三叉神经射频热凝术,人次,40.0,40,特殊射频治疗针按实际消耗另收,甲,是,北京市医疗保障局,2026-03-04 20:03:19
w0201000038,腹腔冲洗,人次,10.0,10,,甲,是,北京市医疗保障局,2026-03-04 20:03:19
w0201000039,盆腔冲洗,人次,10.0,10,,甲,是,北京市医疗保障局,2026-03-04 20:03:19
w0201000041,胸腔冲洗,人次,10.0,10,,甲,是,北京市医疗保障局,2026-03-04 20:03:19
w0201000047,十二指肠引流,人次,10.0,10,肠管另收,甲,是,北京市医疗保障局,2026-03-04 20:03:19
w0201000049,抽胃液,人次,4.0,4,不含放置胃管。一次性空针另收,甲,是,北京市医疗保障局,2026-03-04 20:03:19
w0201000050,胃内冷冻止血疗法,人次,10.0,10,不含放置胃管。药及一次性管、空针另收,甲,是,北京市医疗保障局,2026-03-04 20:03:19
w0201000057,负压吸引（中心泵）,日,6.0,6,电动吸痰同此收费,甲,是,北京市医疗保障局,2026-03-04 20:03:19
w0201000058,人工气胸,人次,4.0,4,透视费另收,甲,是,北京市医疗保障局,2026-03-04 20:03:19
w0201000068,"防褥疮气垫(床,褥)",日,8.0,8,,丙,是,北京市医疗保障局,2026-03-04 20:03:19
w0201000074,微循环检查（简易）,人次,5.0,5,,丙,是,北京市医疗保障局,2026-03-04 20:03:19
w0201000075,糖尿病微循环治疗(LT生物反馈治疗),人次,20.0,20,,甲,是,北京市医疗保障局,2026-03-04 20:03:19
w0201000076,加速度脉搏波测定,人次,5.0,5,,丙,是,北京市医疗保障局,2026-03-04 20:03:19
w0201000079,关节冲洗,人次,10.0,10,,甲,是,北京市医疗保障局,2026-03-04 20:03:19
w0201000083,消化道动力监测,人次,40.0,40,导管按实际消耗另收,甲,是,北京市医疗保障局,2026-03-04 20:03:19
w0201000085,多功能消化道测量（仪）,人次,20.0,20,,甲,是,北京市医疗保障局,2026-03-04 20:03:19
w0201000086,白细胞增长(仪),人次,15.0,15,电极另收,甲,是,北京市医疗保障局,2026-03-04 20:03:19
w0201000087,电脑营养评价,人次,2.0,2,,丙,是,北京市医疗保障局,2026-03-04 20:03:19
w0201000088,持续性恒温颅脑降温（仪）,小时,3.0,3,,甲,是,北京市医疗保障局,2026-03-04 20:03:19
w0201000089,腋臭封闭,单侧 ,10.0,10,,丙,是,北京市医疗保障局,2026-03-04 20:03:19
w0201000090,保留闭式引流,日,5.0,5,一次性引流管、瓶、袋另收,甲,是,北京市医疗保障局,2026-03-04 20:03:19
w0201000091,经鼻胆总管引流,人次,30.0,30,导管、导丝另收,甲,是,北京市医疗保障局,2026-03-04 20:03:19
w0201000092,脑室引流术后持续引流,日,5.0,5,一次性引流管、瓶、袋另收,甲,是,北京市医疗保障局,2026-03-04 20:03:19
w0201000094,血滤引流,人次,5.0,5,,甲,是,北京市医疗保障局,2026-03-04 20:03:19
w0201000096,心脑血管多功能治疗,人次,10.0,10,一次电极另收,甲,是,北京市医疗保障局,2026-03-04 20:03:19
w0201000098,心外按压,人次,15.0,15,连续按压15分钟以上，加倍收费,甲,是,北京市医疗保障局,2026-03-04 20:03:19
w0201000099,静脉曲张定位定压治疗,人次/日,1.0,1,敷料费另收,甲,是,北京市医疗保障局,2026-03-04 20:03:19
w0201000100,紫外线氧透照输液治疗,人次,20.0,20,含输液器、输液贴等材料费,丙,是,北京市医疗保障局,2026-03-04 20:03:19
w0201000102,低能量氦氖激光血管内照射,人次,50.0,50,含激光针、材料费,丙,是,北京市医疗保障局,2026-03-04 20:03:19
w0201000103,人工气腹治疗（仪）,人次,2.0,2,一次性注射器另收,甲,是,北京市医疗保障局,2026-03-04 20:03:19
w0201000104,骨折愈合治疗,人次,20.0,20,仪器治疗,甲,是,北京市医疗保障局,2026-03-04 20:03:19
w0201000107,氢呼气试验(色谱仪法),人次,55.0,55,,无效,否,北京市医疗保障局,2026-03-04 20:03:19
w0201000110,多功能胸腹水治疗,小时,1.0,1,,甲,是,北京市医疗保障局,2026-03-04 20:03:19
w0201000111,多功能超声血管治疗,人次,10.0,10,超声+生物电反馈等多功能治疗最多不超过20元,甲,是,北京市医疗保障局,2026-03-04 20:03:19
w0201000113,肿瘤检测(仪),人次,15.0,15,,丙,是,北京市医疗保障局,2026-03-04 20:03:19
w0201000114,SW系列反射治疗(仪),人次,90.0,90,,丙,是,北京市医疗保障局,2026-03-04 20:03:19
w0201000115,IST胃肠疾病智能诊断,人次,15.0,15,一次性电极、软盘另收,丙,是,北京市医疗保障局,2026-03-04 20:03:19
